typ, name, text, locale
#
# Model entries
#
model,AuditEvent,EVM Audit Event,en
model,AvailabilityZone,Availability Zone,en
model,Compliance,Compliance History,en
model,Compliances,Compliance History,en
model,Chargeback,Chargeback,en
model,ChargebackRate,Chargeback Rate,en
model,CimStorageExtent,Storage - Extent,en
model,Classification,Category,en
model,Condition,Condition,en
model,CustomButton,Button,en
model,CustomButtonSet,Buttons Group,en
model,EmsCloud,Cloud Provider,en
model,EmsCluster,Cluster,en
model,EmsClusterPerformance,Performance - Cluster,en
model,EmsEvent,Management Event,en
model,EmsFolder,Folder,en
model,EmsInfra,Infrastructure Provider,en
model,ExtManagementSystem,Provider,en
model,FileDepotFtp,FTP,en
model,FileDepotFtpAnonymous,Anonymous FTP,en
model,FileDepotNfs,NFS,en
model,FileDepotSmb,Samba,en
model,Filesystem,File,en
model,Flavor, Flavor,en
model,HostPerformance,Performance - Host,en
model,IsoDatastore,ISO Datastore,en
model,IsoImage,ISO Image,en
model,LdapRegion,LDAP Region,en
model,LdapDomain,LDAP Domain,en
model,LdapServer,LDAP Server,en
model,MiqAction,Action,en
model,MiqAeClass,Automate Class,en
model,MiqAeDomain,Automate Domain,en
model,MiqAeInstance,Automate Instance,en
model,MiqAeMethod,Automate Method,en
model,MiqAeNamespace,Automate Namespace,en
model,MiqAlert,Alert,en
model,MiqAlertSet,Alert Profile,en
model,MiqDialog,Dialog,en
model,MiqEnterprise,Enterprise,en
model,MiqGroup,EVM Group,en
model,MiqPolicySet,Policy Profile,en
model,MiqPolicy,Policy,en
model,MiqProvision,Provision,en
model,MiqProxy,SmartProxy,en
model,MiqRegion,Region,en
model,MiqReport,Report,en
model,MiqRequest,Request,en
model,MiqSchedule,Schedule,en
model,MiqSearch,Search,en
model,MiqServer,Server,en
model,MiqSmisAgent,SMI-S Agent,en
model,MiqTemplate,VM Template and Image,en
model,MiqUserRole,Role,en
model,MiqWidget,Widget,en
model,MiqWorker,EVM Worker,en
model,NetappRemoteService,NetApp Remote Service,en
model,OntapConcreteExtent,Storage - Aggregate,en
model,OntapFileShare,Storage - File Share,en
model,OntapLogicalDisk,Storage - Volume,en
model,OntapPlexExtent,Storage - Plex,en
model,OntapRaidGroupExtent,Storage - Raid Group,en
model,OntapStorageSystem,Storage - Filer,en
model,OntapStorageVolume,Storage - LUN,en
model,OntapVolumeMetricsRollup,Storage Performance - Volumes, en
model,ProductUpdate,Product Update,en
model,PxeCustomizationTemplate,Customization Template,en
model,PxeImage,PXE Image,en
model,PxeImageType,System Image Type,en
model,PxeServer,PXE Server,en
model,ResourcePool,Resource Pool,en
model,ScanItem,Scan Item,en
model,ScanItemSet,Analysis Profile,en
model,Service,Service,en
model,ServiceTemplate,Service Catalog Item,en
model,ServiceTemplateCatalog,Catalog,en
model,SniaLocalFileSystem,Storage - Local File System,en
model,Storage,Datastore,en
model,StorageFile,Datastore File,en
model,StorageManager,Storage Manager,en
model,StoragePerformance,Performance - Datastore,en
model,TemplateCloud,Image,en
model,TemplateInfra,Template,en
model,TimeProfile,Time Profile,en
model,User,EVM User,en
model,VdiController,VDI - Controller,en
model,VdiDesktop,VDI - Desktop,en
model,VdiDesktopPool,VDI - Desktop Pool,en
model,VdiEndpointDevice,VDI - Endpoint Device,en
model,VdiFarm,VDI - Farm,en
model,VdiSession,VDI - Session,en
model,VdiUser,VDI - User,en
model,VimPerformanceTrend,Performance Trend,en
model,VmdbTable,VMDB Table,en
model,VmCloud,Instance,en
model,VmInfra,Virtual Machine,en
model,VmOrTemplate,VM or Template,en
model,VmPerformance,Performance - VM,en
model,Vm,VM and Instance,en
model,VmVdi,VDI - VM,en
model,Zone,Zone,en

#
# Table entries
#
table,availability_zone,Availability Zone,en
table,cdroms,CD/DVD Drives,en
table,ontap_storage_system,Filers,en
table,ontap_storage_volume,LUNs,en
table,ontap_file_share,File Shares,en
table,snia_local_file_system,Local File Systems,en
table,ontap_logical_disk,Volumes,en
table,cim_base_storage_extent,Base Extents,en
table,compliances,Compliance History,en
table,compliance_details,Details,en
table,custom_button,Button,en
table,custom_button_set,Buttons Group,en
table,ems_cloud,Cloud Provider,en
table,ems_clouds,Cloud Providers,en
table,ems_clusters,Clusters,en
table,ems_cluster,Cluster,en
table,ems_custom_attributes,VC Custom Attributes,en
table,ems_custom_attribute,VC Custom Attribute,en
table,ems_events,Management Events,en
table,ems_event,Management Event,en
table,ems_folder,Folder,en
table,ems_folders,Folders,en
table,ems_infra,Infrastructure Provider,en
table,ems_infras,Infrastructure Providers,en
table,ext_management_systems,Cloud/Infrastructure Providers,en
table,ext_management_system,Cloud/Infrastructure Provider,en
table,evm_owner,EVM Owner,en
table,filesystem_drivers,File System Drivers,en
table,filesystems,Files,en
table,flavor,Flavor,en
table,flavors,Flavors,en
table,floppies,Floppy Drives,en
table,guest_devices,Devices,en
table,iso_datastore,ISO Datastore,en
table,iso_image,ISO Image,en
table,lans,vLANs,en
table,last_compliance,Last Compliance History,en
table,ldap,LDAP,en
table,linux_initprocesses,Linux Init Processes,en
table,ldap_domain,LDAP Domain,en
table,ldap_region,LDAP Region,en
table,ldap_server,LDAP Server,en
table,miq_approval_stamps,Stamped Approvals,en
table,miq_approvals,Approvals,en
table,miq_custom_attributes,EVM Custom Attributes,en
table,miq_custom_attribute,EVM Custom Attribute,en
table,miq_event,Event,en
table,miq_provisions,Provisions,en
table,miq_provision,Provision,en
table,miq_provision_template,Provisioned From Template,en
table,miq_provision_vms,Provisioned VMs,en
table,miq_proxy,SmartProxy,en
table,miq_proxy_builds,SmartProxy Builds,en
table,miq_regions,Regions,en
table,miq_region,Region,en
table,miq_requests,Requests,en
table,miq_request,Request,en
table,miq_schedules,Schedules,en
table,miq_scsi_luns,SCSI LUNs,en
table,miq_servers,Servers, en
table,miq_server,Server, en
table,miq_task,Task, en
table,miq_template,VM Template,en
table,miq_worker,EVM Worker,en
table,miq_workers,EVM Workers,en
table,nics,Network Adapters,en
table,ontap_concrete_extents,Storage - Aggregates,en
table,ontap_file_shares,Storage - File Shares,en
